,target,text
441,ham,You were supposed to wake ME up &gt;:(
4193,ham,Can not use foreign stamps in this country.
803,spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
2503,ham,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
215,ham,Finally the match heading towards draw as your prediction.
2826,ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
458,ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
576,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
1333,ham,"Oh... Icic... K lor, den meet other day..."
929,spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy
3125,ham,U coming 2 pick me?
3795,ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
895,ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)"""
5108,ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
3289,ham,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
4289,ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less."
4554,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
475,ham,Ok I'm gonna head up to usf in like fifteen minutes
2173,ham,"Hiya, had a good day? Have you spoken to since the weekend?"
4018,spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
1672,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
4820,ham,Im good! I have been thinking about you...
3306,ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!"
2080,ham,Where is it. Is there any opening for mca.
603,ham,Be happy there. I will come after noon
3478,ham,Be sure to check your yahoo email. We sent photos yesterday
21,ham,IÛ÷m going to try for 2 months ha ha only joking
1209,ham,His bday real is in april .
5502,ham,Apo all other are mokka players only
1365,spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
142,ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
4,ham,"Nah I don't think he goes to usf, he lives around here though"
2957,spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
4784,spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or å£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
4158,ham,Now got tv 2 watch meh? U no work today?
4377,ham,"Doing nothing, then u not having dinner w us?"
1879,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
109,ham,Dont worry. I guess he's busy.
2726,ham,No i am not having not any movies in my laptop
4680,ham,Are you staying in town ?
5564,ham,Why don't you wait 'til at least wednesday to see if you get your .
2233,ham,Good Morning plz call me sir
3327,ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
1698,spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
4297,spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
3146,ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
2220,ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...
4893,ham,Convey my regards to him
5022,ham,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota
2496,ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
4500,ham,So wat's da decision?
3414,ham,He remains a bro amongst bros
4789,ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
2204,ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
1708,ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
4532,spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
2968,ham,Ma head dey swell oh. Thanks for making my day
4349,ham,Yes. Rent is very expensive so its the way we save.
1700,ham,Please ask mummy to call father
4581,ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
4634,ham,How come i din c Ì_... Yup i cut my hair...
402,ham,The hair cream has not been shipped.
2370,ham,"That day Ì_ say Ì_ cut ur hair at paragon, is it called hair sense? Do Ì_ noe how much is a hair cut? "
4026,ham,"Yes, princess. Are you going to make me moan?"
3550,ham,I love you both too :-)
5296,ham,Are u coming to the funeral home
842,ham,Our Prashanthettan's mother passed away last night. pray for her and family.
2975,ham,I love u 2 my little pocy bell I am sorry but I love u
4358,ham,ÌÏ only send me the contents page...
3488,ham,I'm also came to room.
2126,ham,You do got a shitload of diamonds though
2063,spam,"URGENT! Your mobile No *********** WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
2116,ham,"It's that time of the week again, ryan"
3223,ham,Sorry da thangam.it's my mistake.
2555,spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
3368,ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
4133,ham,Is it your yahoo boys that bring in the perf? Or legal.
596,ham,Gud mrng dear have a nice day
4892,ham,Send me the new number
2558,ham,"Some friends want me to drive em someplace, probably take a while"
1497,ham,I'm putting it on now. It should be ready for  &lt;TIME&gt; 
924,ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
360,ham,Ha ha cool cool chikku chikku:-):-DB-)
1772,ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
4290,ham,Call me when u're done...
671,spam,SMS. ac sun0819 posts HELLO:\You seem cool
4817,ham,How's ur paper?
1068,spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
395,ham,From here after The performance award is calculated every two month.not for current one month period..
5398,ham,Hi. Hope you had a good day. Have a better night.
5520,ham,No. I dont want to hear anything
4809,ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
700,ham,How much r Ì_ willing to pay?
231,ham,Dear we are going to our rubber place
434,ham,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th
2119,ham,I hope you know I'm still mad at you.
1747,ham,I think u have the wrong number.
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
1855,ham,K.:)you are the only girl waiting in reception ah?
4973,ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
4252,ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
934,spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
371,ham,I will spoil you in bed as well :)
4910,ham,Love that holiday Monday feeling even if I have to go to the dentists in an hour
2027,ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
899,spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
3208,ham,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
4990,ham,"We made it! Eta at taunton is 12:30 as planned, hope thatÛ÷s still okday?! Good to see you! :-xx"
1916,ham,Fffff. Can you text kadeem or are you too far gone
179,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
2638,ham,Am in gobi arts college
193,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
1123,ham,Good morning princess! How are you?
120,spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
2887,ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
1764,spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
2430,ham,How was txting and driving
1996,ham,Lol boo I was hoping for a laugh
4543,ham,when you and derek done with class?
2451,ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
2032,ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
3394,ham,Then i buy.
2600,ham,"As usual..iam fine, happy &amp; doing well..:)"
746,ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
2182,ham,PS U no ur a grown up now right?
616,ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
3533,ham,Good evening! How are you?
522,ham,Were gonna go get some tacos
4207,ham,Or i go home first lar Ì_ wait 4 me lor.. I put down my stuff first..
3545,ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!
2372,ham,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?
3944,ham,I will be gentle princess! We will make sweet gentle love...
4024,ham, &lt;#&gt;  in mca. But not conform.
3675,ham,Hey r Ì_ still online? I've finished the formatting...
5388,ham,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!
1840,ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
2995,ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
1130,ham,Howz pain?hope u r fine..
1129,ham,"So check your errors and if you had difficulties, do correction."
171,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
197,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
4957,ham,Why didn't u call on your lunch?
3393,ham,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.
1346,ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
3227,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
4883,ham,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.
221,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
1100,ham,You busy or can I come by at some point and figure out what we're doing tomorrow
3345,ham,U're welcome... Caught u using broken english again...
4511,ham,Now project pa. After that only i can come.
4620,ham,"Received, understood n acted upon!"
5217,ham,Well thats nice. Too bad i cant eat it
3936,ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
4436,ham,How come u got nothing to do?
1903,spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
5166,ham,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
4159,ham,i felt so...not any conveying reason.. Ese he... What about me?
2986,ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
3831,ham,Ok.
1552,ham,U too...
4322,ham,Aight well keep me informed
5053,spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
2348,ham,That seems unnecessarily affectionate
5267,ham,Anything lar then Ì_ not going home 4 dinner?
1906,ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
4308,ham,He dint tell anything. He is angry on me that why you told to abi.
3711,ham,Wat u doing there?
4296,spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???
2274,ham,Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip
3797,ham,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
5237,spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 
3980,ham,Huh i cant thk of more oredi how many pages do we have?
4614,spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
4169,ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
1696,ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
4052,ham,I was slept that time.you there?
4780,ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke 
5393,ham,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
3423,spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL
2597,ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say..."
5540,spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800
3548,ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like"
4323,ham,I am not having her number sir
1599,ham,"Yeah probably, I still gotta check out with leo"
2805,ham,Can a not?
2696,ham,Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...
2905,ham,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\""."""
5525,ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
4592,ham,It's ok i wun b angry. Msg u aft i come home tonight.
5059,ham,I think i am disturbing her da
2388,ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. .."""
5363,ham,"I think your mentor is , but not 100 percent sure."
4977,ham,JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME
3148,ham,"Sorry,  in meeting I'll call you later"
2718,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
4815,ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
1469,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
1716,ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
3040,ham,Aight what time you want me to come up?
1970,ham,Nvm it's ok...
5211,ham,It is only yesterday true true.
4625,ham,Lol ... I knew that .... I saw him in the dollar store
337,ham,Just sleeping..and surfing
4823,ham,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?
2325,ham,Apps class varaya elaya.
5277,ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
503,ham,Lolnice. I went from a fish to ..water.?
1662,spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL
2463,ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
4028,ham,"[Û_] anyway, many good evenings to u! s"
928,ham,Oh all have to come ah?
523,ham,"That's very rude, you on campus?"
5543,ham,U still havent got urself a jacket ah?
538,ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
253,ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
2965,ham,"Are you being good, baby? :)"
423,spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
393,ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
1829,spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
1857,ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
2434,ham,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
816,ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
1521,ham,Are you angry with me. What happen dear
4962,ham,I want to see your pretty pussy...
2219,spam,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
3475,ham,"I can probably come by, everybody's done around  &lt;#&gt;  right?"
2637,ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear
1460,ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D"
476,ham,Love you aathi..love u lot..
4145,ham,I canåÕt wait for cornwall. Hope tonight isnåÕt too bad as well but itåÕs rock night shite. Anyway iåÕm going for a kip now have a good night. Speak to you soon.
599,ham,I'm going out to buy mum's present ar.
3946,ham,"Sorry, went to bed early, nightnight"
2185,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
132,ham,First answer my question.
1151,ham,"Sorry, I'll call later"
2420,ham,Oic... Then better quickly go bathe n settle down...
4179,ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
3285,ham,Not to worry. I'm sure you'll get it.
4234,spam,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP
1807,ham,Do have a nice day today. I love you so dearly.
2707,spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
4428,ham,Hey they r not watching movie tonight so i'll prob b home early...
3114,ham,I wait 4 Ì_ inside da car park...
2432,ham,Really dun bluff me leh... U sleep early too. Nite...
3338,ham,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
2191,ham,Thankyou so much for the call. I appreciate your care.
3469,ham,aathi..where are you dear..
3809,ham,"Aight, can you text me the address?"
2433,ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\"""""
1559,ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
2510,ham,Yunny i'm walking in citylink now Ì_ faster come down... Me very hungry...
5394,ham,I dont know exactly could you ask chechi.
3815,ham,How long does it take to get it.
4347,ham,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days
4567,ham,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.
1215,ham,"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?"
680,ham,What is this 'hex' place you talk of? Explain!
3185,ham,Happy birthday to you....dear.with lots of love.rakhesh NRI
3272,ham,Just finished eating. Got u a plate. NOT leftovers this time.
2429,spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1
5290,ham,Dear where you. Call me
5392,ham,Ooooooh I forgot to tell u I can get on yoville on my phone
3056,ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
3304,ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
4034,spam,YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
4218,ham,Anything lor if they all go then i go lor...
5024,ham,I was gonna ask you lol but i think its at 7
4940,ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?
3764,spam,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p "
5432,ham,Thanx a lot 4 ur help!
3241,ham,Good Morning my Dear........... Have a great &amp; successful day.
353,ham,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
2188,spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
3714,ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
379,ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
1608,ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
5324,ham,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards."
2624,ham,S da..al r above  &lt;#&gt;
4858,ham,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?"
432,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
5307,ham,What you did in  leave.
3302,ham,"It'll be tough, but I'll do what I have to"
650,ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
1591,ham,That's my honeymoon outfit. :)
5179,ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
2248,ham,will you like to be spoiled? :)
