Unnamed: 0,target,text
3208,0,havent mu ask u 1st wat meet 4 lunch den u n meet alreadi lor u wan 2 go ask da ge 1st confirm w asap
4990,0,made eta taunton plan hope still okday good see
1916,0,fffff text kadeem far gone
179,0,hi spoke maneesha like know satisfi experi repli toll free ye
2638,0,gobi art colleg
193,0,stop howev suggest stay someon abl give or everi stool
1123,0,good morn princess
120,1,urgent mobil award bonu caller prize final tri contact u call landlin 09064019788 box42wr29c 150ppm
2887,0,take phone callon friday assum wo year
1764,1,hi 07734396839 ibh custom loyalti offer new nokia6600 mobil txtauction txt word start get 4t
2430,0,txting drive
1996,0,lol boo hope laugh
4543,0,derek done class
2451,0,know complain num bettr directli go bsnl offc nd appli
2032,0,ye small kid boost secret energi
3394,0,buy
2600,0,usual iam fine happi amp well
746,0,promis take good care princess run pleas send pic get chanc ttyl
2182,0,ps u ur grown right
616,0,like v shock leh co tell shuhui like tell leona also like dat almost know liao got ask abt ur reaction lor
3533,0,good even
522,0,gon na go get taco
4207,0,go home first lar wait 4 lor put stuff first
3545,0,th gower mate r u man good wale ill b back åômorrow c u wk msg 4 åð random
2372,0,watch tv lor funni bluff 4 wat izzit thk imposs us
3944,0,gentl princess make sweet gentl love
4024,0,lt gt mca conform
3675,0,hey r still onlin finish format
5388,0,much fight good nite
1840,0,yeah got list u joanna feel realli anti social
2995,0,releas vday shirt u put make bottom half nake instead white underwear
1130,0,howz pain hope u r fine
1129,0,check error difficulti correct
171,0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
197,0,hamster dead hey tmr meet 1pm orchard mrt
4957,0,u call lunch
3393,0,bull plan go float ikea without care world live mess anoth day
1346,0,ok stay night xavier sleep bag get tire
3227,1,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
4883,0,mani thing antibiot use chest abdomen gyna infect even bone infect
221,0,os call ubandu run without instal hard disk use os copi import file system give repair shop
1100,0,busi come point figur tomorrow
3345,0,u welcom caught u use broken english
4511,0,project come
4620,0,receiv understood n act upon
5217,0,well that nice bad cant eat
3936,0,yeah fact ask need anyth like hour ago much
4436,0,come u got noth
1903,1,free entri 2 weekli comp chanc win ipod txt pod 80182 get entri std txt rate c appli 08452810073 detail
5166,0,dun believ leh tot told true alreadi thk muz c us tog believ
4159,0,felt convey reason ese
2986,0,see ca see mayb reboot ym seen buzz
3831,0,ok
1552,0,u
4322,0,aight well keep inform
5053,1,doubl min doubl txt price linerent latest orang bluetooth mobil call mobileupd8 latest offer 08000839402
2348,0,seem unnecessarili affection
5267,0,anyth lar go home 4 dinner
1906,0,stop old man get build snowman snow angel snowbal fight
4308,0,dint tell anyth angri told abi
3711,0,wat u
4296,1,let send free anonym mask messag im send messag see potenti abus
2274,0,think could stop like hour roommat look stock trip
3797,0,feb lt gt love day send di ur valu evn 3 come back u gt marri person u luv u ignor di u lose ur luv 4 evr
5237,1,someonon know tri contact via date servic find could call mobil landlin 09064015307 box334sk38ch
3980,0,huh cant thk oredi mani page
4614,1,sunshin quiz win super soni dvd record cannam capit australia text mquiz b
4169,0,mmmmmm love much ahmad ca wait year begin everi second take closer side happi new year love
1696,0,sorri man stash ran dri last night ca pick sunday
4052,0,slept
4780,0,yup hey one day fri ask miwa jiayin take leav go karaok
5393,0,done hand know mega shop asda count celebr that
3423,1,new 2 club dont fink met yet b gr8 2 c u pleas leav msg 2day wiv ur area 09099726553 repli promis carli x lkpobox177hp51fl
2597,0,got fujitsu ibm hp toshiba got lot model say
5540,1,ask 3mobil 0870 chatlin inclu free min india cust serv sed ye l8er got mega bill 3 dont giv shit bailiff due day 3 want
3548,0,got like lt gt get later though get whatev feel like
4323,0,number sir
1599,0,yeah probabl still got ta check leo
2805,0,
2696,0,nope go home go pump petrol lor like go 2 rain soon
2905,0,helloooo wake full gud
5525,0,want tell bad feel basic time text late need drug
4592,0,ok wun b angri msg u aft come home tonight
5059,0,think disturb da
2388,0,wiskey brandi rum gin beer vodka scotch shampain wine yarasu dhina vaazhthukk
5363,0,think mentor 100 percent sure
4977,0,jade paul didnåõt u txt u rememb barm want 2 talk 2 u txt
3148,0,sorri meet call later
2718,1,18 day euro2004 kickoff u kept inform latest news result daili unsubscrib send get euro stop 83222
4815,0,anyth valuabl 2 situat get loos
1469,0,7 wonder world 7th 6th ur style 5th ur smile 4th ur person 3rd ur natur 2nd ur sm 1st love good morn dear
1716,0,sorri earlier put around talk 9 actual life lol
3040,0,aight time want come
1970,0,nvm ok
5211,0,yesterday true true
4625,0,lol knew saw dollar store
337,0,sleep surf
4823,0,thought bout drink tap spile seven pub ga st broad st canal ok
2325,0,app class varaya elaya
5277,0,best msg hard person u know one step foward make u fall love amp one step back ruin ur friendship good night
503,0,lolnic went fish water
1662,1,hi ur lookin 4 sauci daytim fun wiv busti marri woman free next week chat 2 sort time 09099726429 janinexx
2463,0,good afternoon babe goe day job prospect yet miss love sigh
4028,0,anyway mani good even u
928,0,oh come ah
523,0,rude campu
5543,0,u still havent got urself jacket ah
538,0,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear
253,0,up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff
2965,0,good babi
423,1,urgent mobil number award prize guarante call 09058094455 land line claim valid 12hr
393,0,ye think offic lap room think that last day didnt shut
2,1,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18
1829,1,hottest pic straight phone see get wet want xx text pic 89555 txt cost 150p textoper g696ga 18 xxx
1857,0,hate turn fun shop trip annoy day everyth would look hous
2434,0,uncl boy need movi oh guid plu know torrent particularli legal system slow gr8 day plu start co dont meet onlin honey moon
816,0,lot use one babe model help youi bring match
1521,0,angri happen dear
4962,0,want see pretti pussi
2219,1,guarante cash prize claim yr prize call custom servic repres 08714712379 cost 10p
3475,0,probabl come everybodi done around lt gt right
2637,0,cancer mom make big deal regular checkup aka pap smear
1460,0,yalru lyfu astn chikku bt innu mundh lyf ali halla ke bilo marriag program edha lyf nt yet ovr chikku ali vargu lyfu meow meow
476,0,love aathi love u lot
4145,0,canåõt wait cornwal hope tonight isnåõt bad well itåõ rock night shite anyway iåõm go kip good night speak soon
599,0,go buy mum present ar
3946,0,sorri went bed earli nightnight
2185,0,puriti friendship two smile read forward messag smile see name gud evng
132,0,first answer question
1151,0,sorri call later
2420,0,oic better quickli go bath n settl
4179,0,swhrt u dey hope ur ok tot u n care
3285,0,worri sure get
4234,1,freemsg record indic may entitl 3750 pound accid claim free repli ye msg opt text stop
1807,0,nice day today love dearli
2707,1,great new offer doubl min doubl txt best orang tariff get latest camera phone 4 free call mobileupd8 free 08000839402 2stoptxt cs
4428,0,hey r watch movi tonight prob b home earli
3114,0,wait 4 insid da car park
2432,0,realli dun bluff leh u sleep earli nite
3338,0,babe love cover face kiss
2191,0,thankyou much call appreci care
3469,0,aathi dear
3809,0,aight text address
2433,0,indian r poor india poor countri say one swiss bank director say lt gt lac indian money deposit swiss bank use budget lt gt yr give lt gt crore job indian villag delhi 4 lane road forev free power supli lt gt social project everi citizen get monthli lt gt lt gt yr need world bank amp imf loan think money block rich politician full right corrupt politician itna forward karo ki pura india
1559,0,singl line big mean anyth 4 ur best
2510,0,yunni walk citylink faster come hungri
5394,0,dont know exactli could ask chechi
3815,0,long take get
4347,0,give us back id proof lt gt rs wont allow work come home within day
4567,0,hiya how go sunni africa hope u r avin good time give big old silver back big kiss
1215,0,would good phone tomo lunchtim shall organis someth
680,0,place talk explain
3185,0,happi birthday lot nri
3272,0,finish eat got u plate leftov time
2429,1,guess first time creat web page read wrote wait opinion want friend
5290,0,dear call
5392,0,ooooooh forgot tell u get yovil phone
3056,0,woke yeesh late fall asleep til lt gt
3304,0,ee msg na poortiyagi odalebeku hanumanji 7 name ee 7 name lt gt janarig ivatt kalisidar next saturday olag ondu good news keluviri maretar ind 1 dodda problum nalli siguviri idu matra lt gt true neglet
4034,1,chosen receiv award pl call claim number 09066364311 collect award select receiv valu mobil custom
4218,0,anyth lor go go lor
5024,0,gon na ask lol think 7
4940,0,omg make wed chapel frontiervil get good stuff
3764,1,someon u know ask date servic 2 contact cant guess call 09058095107 reveal pobox 7 s3xi 150p
5432,0,thanx lot 4 ur help
3241,0,good morn dear great amp success day
353,0,yo guy ever figur much need alcohol jay tri figur much safe spend weed
2188,1,free camera phone linerent 750 cross ntwk min price txt bundl deal also avbl call 08001950382 mf
3714,0,late call tomorrow care sweet dream u ummifi bye
379,0,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak
1608,0,freez home yet rememb kiss mom morn love think miss yet
5324,0,dear sir salam pleasur meet today tea pleas send contact number save regard
2624,0,da al r lt gt
4858,0,hey guy know breath neck get bud anyway abl get half track usf tonight
432,1,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil close 300603 post bcm4284 ldn wc1n3xx
5307,0,leav
3302,0,tough
650,0,that cool sometim slow gentl sonetim rough hard
1591,0,honeymoon outfit
5179,0,hi hope u r ok said would text u seen let gentli pleas
2248,0,like spoil
3712,0,meet rite go home lor dun feel like comin ok
1831,0,thanx take call got job start monday
131,0,dear call accomod
3039,0,one day crab run sea shore wave came n clear footprint crab crab ask frnd r u clear beauti footprint wave repli fox follow ur footprint catch that clear frndsship never let u dwn gud nyt
2846,1,jamster get crazi frog sound poli text mad1 real text mad2 88888 6 crazi sound 3 c appli
4958,0,mean left earli check co work
3382,0,k must book huh go yoga basic sunday
3445,0,mon oki lor haha best cheap n gd food la ex oso oki depend whether wana eat western chines food den u prefer
4285,0,congrat great want tell tell score co might make relax motiv thank share
4060,0,aight set free think could text blake address occur quit sure thought
1330,0,aight rush ask jay
4775,0,quit lor dun tell wait get complac
3164,0,cheer card time year alreadi
1516,0,need come home give good lovin
2401,1,babe u want dont u babi im nasti thing 4 filthyguy fanci rude time sexi bitch go slo n hard txt xxx slo 4msg
5384,0,babe hope shit night sleep fell asleep knacker iåõm dread work tonight thou upto tonight x
3929,0,thk got ta go home urself co b go shop 4 fren present
4212,0,attend noth
4828,0,long get repli defer admiss til next semest
3151,1,hard live 121 chat choos girl connect live call 09094646899 cheap chat uk biggest live servic vu bcm1896wc1n3xx
4013,0,sorri ca text amp drive coher see twenti
1459,1,bought one rington get text cost 3 pound offer tone etc
2634,0,sorri da thangam sorri held prasad
1638,0,great comedi cant stop laugh da
3099,0,tessi pl favor pl convey birthday wish nimya pl dnt forget today birthday shija
3678,0,possibl
3767,0,call
4283,0,ye come nyc audiit tri reloc
2240,0,k call close
2602,0,gon na get rimac access
2504,0,hello boytoy made home constant thought love hope nice visit ca wait till come home kiss
3818,0,sorri brah finish last exam
644,0,allo brave buse taken train triumph mean jolli good rest week
1974,0,that cool cum
1744,1,someon conact date servic enter phone fanci find call landlin pobox12n146tf15
5,1,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv
117,0,goodo ye must speak friday ratio tortilla need
2926,0,ok u enjoy ur show
334,1,valentin day special win quiz take partner trip lifetim send go 83600 rcvd
5360,0,hey iouri gave number wyli ryan friend
1079,0,watch surya movi 6 pm vijay movi pokkiri
1387,0,hope ur head hurt 2 much plough way pile iron stay chinki tonight come round like
494,0,free call
2096,0,done
4839,1,privat 2003 account statement show 800 point call 08715203652 identifi code 42810 expir
3991,0,dizzamn aight ask suitem get back
2007,0,hi birth 8lb 7oz mother babi brilliantli
1350,0,bugi oso near wat
4582,1,ur chanc win wkli shop spree txt shop c custcar 08715705022
1454,0,decid faster co si go home liao
1742,0,calm downon theacus itxt u co iwana know wotu r doin haventcn u age ring ur up4 neth j
4786,0,ìï thk wat eat tonight
4929,1,hi sexychat girl wait text text great night chat send stop stop servic
5163,0,ok leav need ask
2702,0,omw back tampa west palm hear happen
3331,0,ok theori test go book think 21 may coz thought wan na go jiayin isnt free
312,0,say give call friend got money definit buy end week
240,0,tomarrow final hear laptop case cant
2380,0,let want hous 8am
3765,0,lookin strong
4139,0,leav wif lar ìï wan carri meh heavi da num 98321561 familiar
5220,0,take exam march 3
2125,0,sorri im get feel realli total reject kinda thing
735,0,one talk
4225,0,ok that cool either raglan rd edward rd behind cricket ground gim ring ur closebi see tuesday
3235,0,aight text back mu swing need somebodi get door
1026,0,ye da plm ur offic
3163,0,today sorri ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good
3988,0,ok lor anyway thk cant get ticket co like quit late alreadi u wan 2 go look 4 ur fren darren wif
5571,0,rofl true name
4713,0,oop thk dun haf enuff go check tell
3932,0,playin space poker u
4119,0,babe goe day miss alreadi love love kiss hope everyth goe well
3281,0,hey around got enough half ten owe
1510,0,pete phone still jenni colleg
3074,0,take us shop mark distract
5244,0,thank temal wonder thank great week
4312,0,well babe swollen gland throat end
621,0,good word word may leav u dismay mani time
2436,0,btw regard realli tri see anyon els 4th guy commit random dude
2213,0,goodmorn today late 2hr back pain
3867,0,know peopl still town
2163,0,hi darlin im way london smash anoth driver big dent im realli miss u u xxx
304,1,sm ac blind date 4u rodds1 aberdeen unit kingdom check http sm blind date send hide
514,1,guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h
3352,0,email yifeng part oredi get fr
364,0,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway
3373,0,also andro ice etc etc
4074,0,god pick flower dippeditinadew lovingli touch itwhichturnedinto u gift tomeandsaid friend 4u
1826,0,dude teresa hope okay didnt hear peopl call receiv packag sinc dec lt gt thot like know fantast year best read plu realli realli bam first aid usml work done
4879,0,alright tyler got minor crisi home sooner thought asap
460,0,u go phone gon na die stay
5056,0,hey next sun 1030 basic yoga cours bugi go pilat intro next sat tell time r free
1036,0,blanket suffici thx
2150,0,tabl occupi wait tree
857,0,hai ana tomarrow come morn lt decim gt ill sathi go rto offic repli came home
3984,0,whatev juliana whatev want
613,0,thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u
5546,0,ic lotta childporn car
1864,0,call ok said call
5113,0,u definit need modul e human di sem izzit u wan 2 take modul 1st
3925,0,havent add yet right
904,0,get worri derek taylor alreadi assum worst
920,0,u wana see
4376,0,much torch 9ja
3091,0,dear take care reach u lot
4981,0,slept thinkthi time lt gt pm danger
810,0,lt gt
1794,0,much gave morn
4407,0,take care sleep need learn chang need get convinc wait convers convinc famili mani u role life
2910,0,sorri meet call later
3598,0,wat r u busi wif work
2862,0,ok would b love u r sure think wot u want drinkin dancin eatin cinema u wot
2546,0,compani terrif food realli nice
5002,1,cd 4u congratul ur award cd gift voucher gift guarante freeentri 2 wkli draw xt music 87066 tnc
3681,0,hello hello hi lou sorri took long 2 left mobil friend lancast got bak neway im sorri couldnåõt make ur båõday 2 hun
301,0,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi
502,0,check nuerologist
2581,0,yup elabor safeti aspect issu
1257,0,also cbe pay
1380,0,dnt wnt tlk wid u
4506,0,neva grumbl sad lor hee buy tmr lor aft lunch still meetin 4 lunch tmr neva hear fr lei ìï got lot work ar
201,0,hello darlin ive finish colleg txt u finish u love kate xxx
5440,0,thank gener date brotha
1680,0,okay wait ah
2278,0,hmm bad news hype park plaza 700 studio taken left 2 900
4050,0,motiv behind everi dark shine light wait find behind everi best friend alway trust love bslvyl
1478,0,think far find check googl map place dorm
2167,0,good crickit mind
204,0,u call alter 11 ok
3103,0,said bad dat e gal know u wat u
4033,0,wot u 2 thout u gon na call txt bak luv k
1730,0,project w fren lor
4151,0,nanni address
3636,0,know hook mean right
3882,0,gumbi special lt gt chees pizza 2 know doin tonight
3993,0,love cuddl want hold strong arm right
771,0,lol u drunkard hair moment yeah still 4 tonight wat plan
4430,0,2mro come gym machan goodnight
5137,1,4 costa del sol holiday await collect call 09050090044 toclaim sae tc pobox334 stockport sk38xh max10min
1576,0,nosi guess idk react freak
5023,0,happen
1499,1,sm ac jsco energi high u may know 2channel 2day ur leadership skill r strong psychic repli an end repli end jsco
4584,1,u secret admir look 2 make contact r reveal think ur
2756,0,good trip watch rememb get back must decid easter
966,0,sure night menu know noon menu
1956,0,k k cant come search job
2628,0,haha cant tmr forfeit haha
263,1,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698
1992,1,free tone hope enjoy new content text stop 61610 unsubscrib provid
3614,0,enjoy watch play footbal basketbal anyth outdoor
4096,0,go bed prin
639,0,askd u question hour answer
3842,0,ye amma life take lot turn sit tri hold steer
874,0,talk atleast day otherwis miss best friend world shesil lt gt
3174,1,ur go 2 bahama callfreefon 08081560665 speak live oper claim either bahama cruis cash opt txt x 07786200117
948,0,chk ur belovd ms dict
1911,0,lol grr mom take forev prescript pharmaci like 2 minut away ugh
316,0,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
4675,0,ìï readi call
3126,0,that cool like photo sexi
3169,0,mah b pick tomorrow
3431,1,camera award sipix digit camera call 09061221066 fromm landlin deliveri within 28 day
4393,0,baaaaaaaab wake miss crave need
286,0,ok
3768,0,gr8 see messag r u leav congrat dear school wat r ur plan
4781,0,call senthil hsbc
4916,1,2nd time tri 2 contact u 750 pound prize 2 claim easi call 08712101358 10p per min
5100,0,aight call close
4063,0,prof pass paper sem congrat student enna kalaachutaarama prof gud mrng
5257,0,usual iam fine happi amp well
2110,0,spare power suppli
5150,0,happi new year u ur famili may new year bring happi stabil tranquil ur vibrant colour life
1470,0,take small dose tablet fever
1754,0,schedul next week town weekend
3918,0,wish think gon na snow much flurri usual get melt hit ground eek snow sinc lt gt even born
1283,0,ye thought thank
5266,0,hi darlin kate u doin somethin tonight im go pub call swan someth parent one drink phone u
778,0,happi new year dear brother realli miss got number decid send text wish happi abiola
1077,0,yep pretti sculptur
1783,0,dear free messag without recharg hi hi hi
1615,0,mm food da
676,0,mayb say hi find got card great escap wetherspoon
1842,0,comingdown later
1308,0,jokin oni lar ìï busi wun disturb
1381,0,spend day wait ideal path appear front us forget made walk wait goodnight
5419,0,bruce amp fowler mom car ca park long stori
4734,0,oh k placement ah
4198,1,cmon babe make horni turn txt fantasi babe im hot sticki need repli cost 2 cancel send stop
2834,0,ya well bbd pooja full pimpl even becom quit black ur rite cold wear sweatter
355,0,thank say happi onam fine rememb met insur qatar insha ex tata aig join tissco tayseer
3869,0,oh ok wait 4 lect havent finish
573,0,wait call
5309,0,jolli good way give u ticket sat eve speak x
3677,1,promot number 8714714 ur award citi break could win summer shop spree everi wk txt store 88039 skilgm tscs087147403231winawk age16
3305,0,hi darlin finish 3 u 1 2 pick meet text back number luv kate xxx
1306,1,enjoy jamster videosound gold club credit 2 new get fun help call 09701213186
3375,0,good afternon love today hope good mayb interview wake miss babe passion kiss across sea
4862,1,bore housew chat n date rate landlin
5357,0,ok
819,0,babe u enjoyin yourjob u seem 2 b gettin well hunni hope ure ok take care iåõllspeak 2u soonlot lovem
1525,0,pl pl find aunt nike
1849,0,got job wipro get everi thing life 2 3 year
1305,0,design softwar develop may get chennai
848,0,yeah bare enough room two us x mani fuck shoe sorri man see later
832,1,dear voucher holder claim week offer pc pleas go http ts cs appli stop text txt stop 80062
5456,1,sparkl shop break 45 per person call 0121 2025050 visit
165,0,place ur point e cultur modul alreadi
5438,0,youdo later sar
1211,0,ok come ur home half hour
141,0,sir wait mail
2051,0,hey darlin pick u colleg u tell wen 2 mt love pete xx
5042,0,ic lol play 9 door sometim yo
5308,0,come back thursday yay gon na ok get money cheer oh yeah everyth alright how school call work
3480,0,wherr boytoy
636,0,sweetheart hope kind day one load reason smile biola
5279,0,helloooo wake full gud
1709,0,u meet fren dun wan meet ah muz b guy rite
1054,0,hiya comin 2 bristol 1 st week april le got rudi new yr eve drunk u bak colleg yet work send ink 2 bath
2238,0,think sent text home phone cant display text still want send number
248,0,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep
1915,0,time month mid time
1056,0,u drive lor
3717,0,cool like swim pool jacuzzi hous
5375,0,cant pick phone right pl send messag
945,0,cant wait see photo use
2730,0,havent lei next mon
242,0,okay shine meant sign sound better
1062,0,sure time tho sure get librari class tri see point good eve
4022,0,well ball time make call
297,0,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl
4154,1,want new video phone 750 anytim network min half price line rental free text 3 month repli call 08000930705 free deliveri
4541,1,freemsg hi babi wow got new cam mobi wan na c hot pic fanci chat im w8in 4utxt rpli chat 82242 hlp 08712317606 msg150p 2rcv
5239,0,jay want work first 4 sound
2161,0,repli boy chang phone number
1649,0,laptop take
